id_geo;secteur_activite;result_label;result_type;result_housenumber;result_name;NOM_COMMUNE;ADRESSE;FILIERE;CODE_GRAND_SECTEUR;latitude;longitude;score;consommation_energie_brut;estimation_ges_brut;surface_habitable;PDL_elec;CONSO_elec;PDL_gaz;CONSO_gaz;classe_consommation_energie;classe_estimation_ges
77305_0920_00031;;31 Av du Mal de Lattre de Tassigny 77130 Montereau-Fault-Yonne;housenumber;31;Av du Mal de Lattre de Tassigny;;;;;48.380191;2.951857;0.6;0.0;0.0;41.12;0.0;0.0;0.0;0.0;A;A
77305_0920_00035;;35 Av du Mal de Lattre de Tassigny 77130 Montereau-Fault-Yonne;housenumber;35;Av du Mal de Lattre de Tassigny;;;;;48.380092;2.95175;0.6466666666666666;53585.87;2872.3900000000003;163.0;0.0;0.0;0.0;0.0;E;C
77305_0921_00001;Habitation (parties privatives d immeuble col;1 Rue du Marechal Juin 77130 Montereau-Fault-Yonne;housenumber;1;Rue du Marechal Juin;;;;;48.380583;2.953527;0.755;26293.99;1154.83;133.95;0.0;0.0;0.0;0.0;D;B
77305_0924_00007;;7 Allee du Gros Marronnier 77130 Montereau-Fault-Yonne;housenumber;7;Allee du Gros Marronnier;;;;;48.387315;2.949811;0.69;26164.800000000003;1391.5;115.0;0.0;0.0;0.0;0.0;D;C
77305_0925_00009;;9 Rue du Marechal Lefebvre 77130 Montereau-Fault-Yonne;housenumber;9;Rue du Marechal Lefebvre;;;;;48.398544;2.961537;0.55;0.0;0.0;105.0;0.0;0.0;0.0;0.0;A;A
77305_0930_00003;Habitation (parties privatives d immeuble col;3 Ruelle Marquée 77130 Montereau-Fault-Yonne;housenumber;3;Ruelle Marquée;;;;;48.38542;2.9564609999999996;0.6933333333333334;47331.31;2075.24;207.78;0.0;0.0;0.0;0.0;D;B
77305_0935_00001;;1 Impasse Villa Marie Louise 77130 Montereau-Fault-Yonne;housenumber;1;Impasse Villa Marie Louise;;;;;48.392896;2.953618;0.85;45298.89;1244.88;117.0;0.0;0.0;0.0;0.0;F;C
77305_0950;Habitation (parties privatives d immeuble col;Boulevard des Messieurs 77130 Montereau-Fault-Yonne;street;;Boulevard des Messieurs;;;;;48.384767;2.949721;0.85;0.0;0.0;48.0;0.0;0.0;0.0;0.0;A;A
77305_0950_00001_bis;Habitation (Maisons individuelles);1 bis Boulevard des Messieurs 77130 Montereau-Fault-Yonne;housenumber;1 bis;Boulevard des Messieurs;;;;;48.384752;2.950124;0.7866666666666666;7343.38;1718.54;97.9;0.0;0.0;0.0;0.0;B;C
77305_0950_00005;Habitation (parties privatives d immeuble col;5 Boulevard des Messieurs 77130 Montereau-Fault-Yonne;housenumber;5;Boulevard des Messieurs;;;;;48.38522700000001;2.949555;0.85;27072.25;1306.5;203.8;0.0;0.0;0.0;0.0;C;B
77305_0950_00008;Habitation (parties privatives d immeuble col;8 Boulevard des Messieurs 77130 Montereau-Fault-Yonne;housenumber;8;Boulevard des Messieurs;MONTEREAU-FAULT-YONNE;8 BOULEVARD DES MESSIEURS;E;R;48.385525000000015;2.949429000000001;0.8040214354066982;170603.59;39798.549999999996;839.04;55.0;56.232420000000005;12.0;1.41903;D;E
77305_0950_00010;Habitation (Parties privatives d'immeuble col;10 Boulevard des Messieurs 77130 Montereau-Fault-Yonne;housenumber;10;Boulevard des Messieurs;MONTEREAU-FAULT-YONNE;10 BOULEVARD DES MESSIEURS;E;R;48.385442000000005;2.949863;0.8133097520661156;1186452.0473000002;279474.20970000006;5599.610000000001;36.0;43.232780000000005;15.0;3.26755;D;E
77305_0950_00011;Habitation (maisons individuelles);11 Boulevard des Messieurs 77130 Montereau-Fault-Yonne;housenumber;11;Boulevard des Messieurs;;;;;48.385929;2.948839;0.85;0.0;0.0;55.0;0.0;0.0;0.0;0.0;A;A
77305_0950_00015;Habitation (Maisons individuelles);15 Boulevard des Messieurs 77130 Montereau-Fault-Yonne;housenumber;15;Boulevard des Messieurs;;;;;48.386136;2.94861;0.81;4824.1947;219.40470000000002;144.29000000000002;0.0;0.0;0.0;0.0;A;A
77305_0951;;Promenade des Messieurs 77130 Montereau-Fault-Yonne;street;;Promenade des Messieurs;;;;;48.387384;2.9446979999999994;0.685;74610.2;3524.1;308.5;0.0;0.0;0.0;0.0;E;C
77305_0951_00002;Habitation (parties privatives d immeuble col;2 Promenade des Messieurs 77130 Montereau-Fault-Yonne;housenumber;2;Promenade des Messieurs;MONTEREAU-FAULT-YONNE;2 PROMENADE DES MESSIEURS;E;R;48.387205800000004;2.9474663999999997;0.8459432727272727;58102.13620000001;2728.5070000000005;244.48;32.0;138.958;0.0;0.0;E;C
77305_0951_00003;Habitation (Parties privatives d'immeuble col;3 Promenade des Messieurs 77130 Montereau-Fault-Yonne;housenumber;3;Promenade des Messieurs;MONTEREAU-FAULT-YONNE;3 PROMENADE DES MESSIEURS;E;R;48.38724125;2.9455187499999997;0.844929090909091;37367.08;1649.28;170.0;34.0;175.9559;0.0;0.0;D;B
77305_0951_00004;;;;;;MONTEREAU-FAULT-YONNE;4 PROMENADE DES MESSIEURS;E;R;48.387129;2.946884;0.8697163636363635;0.0;0.0;0.0;18.0;81.93860000000001;0.0;0.0;G;G
77305_0951_00005;Habitation (parties privatives d immeuble col;5 Promenade des Messieurs 77130 Montereau-Fault-Yonne;housenumber;5;Promenade des Messieurs;MONTEREAU-FAULT-YONNE;5 PROMENADE DES MESSIEURS;E;R;48.387127;2.9459630000000003;0.8399054545454545;18004.998;699.738;110.35;32.0;171.2835;0.0;0.0;D;B
77305_0951_00006;Habitation (parties privatives d immeuble col;6 Promenade des Messieurs 77130 Montereau-Fault-Yonne;housenumber;6;Promenade des Messieurs;MONTEREAU-FAULT-YONNE;6 PROMENADE DES MESSIEURS;E;R;48.387244499999994;2.946752;0.7599290909090909;32591.949999999997;1459.15;162.05;29.0;131.5676;0.0;0.0;D;B
77305_0951_00007;Habitation (parties privatives d immeuble col;7 Promenade des Messieurs 77130 Montereau-Fault-Yonne;housenumber;7;Promenade des Messieurs;MONTEREAU-FAULT-YONNE;7 PROMENADE DES MESSIEURS;E;R;48.38705525;2.946367;0.8549290909090909;44096.840000000004;2176.08;163.37;19.0;84.38132;0.0;0.0;E;C
77305_0953_00001;;;;;;MONTEREAU-FAULT-YONNE;1 AVENUE MOLIERE;E;R;48.397446;2.955611;0.8653727272727272;0.0;0.0;0.0;129.0;214.5368;95.0;66.6551;G;G
77305_0960_00001;Habitation (maison indiviuelles);1 Chemin des Montègases 77130 Montereau-Fault-Yonne;housenumber;1;Chemin des Montègases;;;;;48.390989000000005;2.946976;0.85;23975.260000000002;3973.8;132.46;0.0;0.0;0.0;0.0;D;D
77305_0962_00006_bis;;6 bis Rue des Montegases 77130 Montereau-Fault-Yonne;housenumber;6 bis;Rue des Montegases;;;;;48.391413;2.947495;0.75;0.0;0.0;45.27;0.0;0.0;0.0;0.0;A;A
77305_0980;Habitation (parties privatives d immeuble col;Rue Neuve 77130 Montereau-Fault-Yonne;street;;Rue Neuve;;;;;48.387793;2.955712;0.76;0.0;0.0;43.04;0.0;0.0;0.0;0.0;A;A
77305_0980_00006;Habitation (parties privatives d immeuble col;6 Rue Neuve 77130 Montereau-Fault-Yonne;housenumber;6;Rue Neuve;;;;;48.387753;2.956119;0.82;0.0;0.0;103.84;0.0;0.0;0.0;0.0;A;A
77305_0980_00007;Habitation (maisons individuelles);7 Rue Neuve 77130 Montereau-Fault-Yonne;housenumber;7;Rue Neuve;;;;;48.387818;2.955963;0.82;0.0;0.0;190.0;0.0;0.0;0.0;0.0;A;A
77305_0980_00008;;8 Rue Neuve 77130 Montereau-Fault-Yonne;housenumber;8.0;Rue Neuve;;;;;48.387754;2.956204;0.74;0.0;0.0;61.989999999999995;0.0;0.0;0.0;0.0;A;A
77305_0980_00010;Habitation (maisons individuelles);10 Rue Neuve 77130 Montereau-Fault-Yonne;housenumber;10;Rue Neuve;;;;;48.387755;2.95636;0.82;44835.0;10500.0;105.0;0.0;0.0;0.0;0.0;F;G
77305_0980_00012;Habitation (Parties privatives d'immeuble col;12 Rue Neuve 77130 Montereau-Fault-Yonne;housenumber;12;Rue Neuve;;;;;48.387751;2.956517;0.76;0.0;0.0;38.0;0.0;0.0;0.0;0.0;A;A
77305_0980_00015;Habitation (parties privatives d immeuble col;15 Rue Neuve 77130 Montereau-Fault-Yonne;housenumber;15;Rue Neuve;;;;;48.387855;2.956601;0.79;0.0;0.0;84.0;0.0;0.0;0.0;0.0;A;A
77305_0990;;Quai des Noues 77130 Montereau-Fault-Yonne;street;;Quai des Noues;;;;;48.382839;2.958168;0.83;109527.84;3565.92;138.0;0.0;0.0;0.0;0.0;G;D
77305_1000_00011;;11 Chemin des Ormeaux 77130 Montereau-Fault-Yonne;housenumber;11;Chemin des Ormeaux;;;;;48.398456;2.950156;0.79;0.0;0.0;60.0;0.0;0.0;0.0;0.0;A;A
77305_1000_00021;;21 Chemin des Ormeaux 77130 Montereau-Fault-Yonne;housenumber;21;Chemin des Ormeaux;;;;;48.398917;2.949423;0.85;5391.763;299.962;107.9;0.0;0.0;0.0;0.0;A;A
77305_1000_00024;Habitation (maisons individuelles);24 Chemin des Ormeaux 77130 Montereau-Fault-Yonne;housenumber;24;Chemin des Ormeaux;;;;;48.3993;2.949553;0.85;15361.01;3530.17;95.41;0.0;0.0;0.0;0.0;D;E
77305_1001;;Impasse des Ormeaux 77130 Montereau-Fault-Yonne;street;;Impasse des Ormeaux;;;;;48.3988;2.949169;0.5575;23231.785;1461.2330000000002;398.8;0.0;0.0;0.0;0.0;B;A
77305_1001_00001;;1 Impasse des Ormeaux 77130 Montereau-Fault-Yonne;housenumber;1;Impasse des Ormeaux;;;;;48.3988;2.949169;0.67;4417.098;527.102;83.8;0.0;0.0;0.0;0.0;B;B
77305_1001_00002;;2 Impasse des Ormeaux 77130 Montereau-Fault-Yonne;housenumber;2;Impasse des Ormeaux;;;;;48.398789;2.949071;0.69;5804.880000000001;328.03200000000004;80.4;0.0;0.0;0.0;0.0;B;A
77305_1001_00004;;4 Impasse des Ormeaux 77130 Montereau-Fault-Yonne;housenumber;4;Impasse des Ormeaux;;;;;48.39874;2.948875;0.56;3924.0080000000003;556.869;103.7;0.0;0.0;0.0;0.0;A;B
77305_1001_00006;;6 Impasse des Ormeaux 77130 Montereau-Fault-Yonne;housenumber;6;Impasse des Ormeaux;;;;;48.398701;2.9486950000000003;0.69;5020.884;248.672;81.8;0.0;0.0;0.0;0.0;B;A
77305_1013_00001;;;;;;MONTEREAU-FAULT-YONNE;1 RUE D OTLEY;E;R;48.399428;2.958712;0.8643581818181818;0.0;0.0;0.0;17.0;35.18399;0.0;0.0;G;G
77305_1013_00002;;;;;;MONTEREAU-FAULT-YONNE;2 RUE D OTLEY;E;R;48.39936;2.958811;0.8643581818181818;0.0;0.0;0.0;17.0;28.428020000000004;0.0;0.0;G;G
77305_1013_00003;;;;;;MONTEREAU-FAULT-YONNE;3 RUE D OTLEY;E;R;48.398996;2.957926;0.8643581818181818;0.0;0.0;0.0;16.0;26.07599;0.0;0.0;G;G
77305_1015;;Rue du Parc des Ormeaux 77130 Montereau-Fault-Yonne;street;;Rue du Parc des Ormeaux;;;;;48.399423;2.949186;0.53;12947.25;576.4499999999999;61.0;0.0;0.0;0.0;0.0;D;B
77305_1020_00003;;3 Route de Paris 77130 Montereau-Fault-Yonne;housenumber;3;Route de Paris;;;;;48.389734;2.958836;0.56;0.0;0.0;67.4;0.0;0.0;0.0;0.0;A;A
77305_1040_00003;;3 Rue de Paris 77130 Montereau-Fault-Yonne;housenumber;3;Rue de Paris;;;;;48.389693;2.95875;0.82;0.0;0.0;27.59;0.0;0.0;0.0;0.0;A;A
77305_1040_00025;Habitation (maisons individuelles);25 Rue de Paris 77130 Montereau-Fault-Yonne;housenumber;25;Rue de Paris;;;;;48.38969;2.95767;0.83;0.0;0.0;64.83;0.0;0.0;0.0;0.0;A;A
77305_1040_00027;Habitation (parties privatives d immeuble col;27 Rue de Paris 77130 Montereau-Fault-Yonne;housenumber;27;Rue de Paris;;;;;48.389699;2.957589;0.83;0.0;0.0;71.5;0.0;0.0;0.0;0.0;A;A
77305_1045_00005;;;;;;MONTEREAU-FAULT-YONNE;5 RUE DE PAREDES;E;R;48.398882;2.958318;0.87066;0.0;0.0;0.0;15.0;25.525360000000003;0.0;0.0;G;G
77305_1045_00007;;7 Rue de Paredes 77130 Montereau-Fault-Yonne;housenumber;7;Rue de Paredes;MONTEREAU-FAULT-YONNE;7 RUE DE PAREDES;E;R;48.3987475;2.958958;0.7203299999999999;11891.0;514.5;50.0;23.0;35.47657;0.0;0.0;E;C
77305_1045_00016;Habitation (maisons individuelles);16 Rue de Paredes 77130 Montereau-Fault-Yonne;housenumber;16;Rue de Paredes;;;;;48.399902;2.95775;0.84;13950.0;558.0;93.0;0.0;0.0;0.0;0.0;D;B
77305_1045_00024;;;;;;MONTEREAU-FAULT-YONNE;24 RUE DE PAREDES;E;R;48.398816;2.959028;0.87066;0.0;0.0;0.0;30.0;57.20712;0.0;0.0;G;G
77305_1060_00008;;8 Boulevard Pasteur 77130 Montereau-Fault-Yonne;housenumber;8;Boulevard Pasteur;;;;;48.384327;2.945743;0.83;24548.5492;4261.362;67.48;0.0;0.0;0.0;0.0;F;F
77305_1060_00015;;15 Boulevard Pasteur 77130 Montereau-Fault-Yonne;housenumber;15;Boulevard Pasteur;;;;;48.383834;2.946007;0.84;32777.0;6205.0;73.0;0.0;0.0;0.0;0.0;F;G
77305_1060_00015_bis;Habitation (maisons individuelles);15 bis Boulevard Pasteur 77130 Montereau-Fault-Yonne;housenumber;15 bis;Boulevard Pasteur;;;;;48.383662;2.946009;0.85;39096.0;2304.0;72.0;0.0;0.0;0.0;0.0;G;D
77305_1060_00018;;18 Boulevard Pasteur 77130 Montereau-Fault-Yonne;housenumber;18;Boulevard Pasteur;;;;;48.383255;2.945749;0.755;38620.78;9030.0;131.0;0.0;0.0;0.0;0.0;E;F
77305_1060_00019;Habitation (maisons individuelles);19 Boulevard Pasteur 77130 Montereau-Fault-Yonne;housenumber;19;Boulevard Pasteur;;;;;48.383449;2.945979;0.84;0.0;0.0;0.0;0.0;0.0;0.0;0.0;G;G
77305_1060_00023;Habitation (parties privatives d immeuble col;23 Boulevard Pasteur 77130 Montereau-Fault-Yonne;housenumber;23;Boulevard Pasteur;;;;;48.38322;2.946005;0.84;0.0;0.0;133.43;0.0;0.0;0.0;0.0;A;A
77305_1060_00032;Habitation (maisons individuelles);32 Boulevard Pasteur 77130 Montereau-Fault-Yonne;housenumber;32;Boulevard Pasteur;;;;;48.382201;2.945922;0.84;0.0;0.0;138.3;0.0;0.0;0.0;0.0;A;A
77305_1060_00035;;35 Boulevard Pasteur 77130 Montereau-Fault-Yonne;housenumber;35;Boulevard Pasteur;;;;;48.382662;2.946104;0.75;0.0;0.0;1270.0;0.0;0.0;0.0;0.0;A;A
77305_1060_00042;Habitation (maisons individuelles);42 Boulevard Pasteur 77130 Montereau-Fault-Yonne;housenumber;42;Boulevard Pasteur;;;;;48.381032;2.94604;0.84;42251.8;9924.26;98.26;0.0;0.0;0.0;0.0;F;G
77305_1070_00001;;1 Rue des Patures 77130 Montereau-Fault-Yonne;housenumber;1;Rue des Patures;;;;;48.387816;2.961239;0.83;19481.4;4557.6;180.0;0.0;0.0;0.0;0.0;C;D
77305_1080_00004;Habitation (parties privatives d immeuble col;4 Rue du Paty 77130 Montereau-Fault-Yonne;housenumber;4;Rue du Paty;;;;;48.387839;2.961732;0.77;0.0;0.0;34.51;0.0;0.0;0.0;0.0;A;A
