;OPERATEUR;ANNEE;FILIERE;CODE_IRIS;NOM_COMMUNE;ADRESSE;CODE_GRAND_SECTEUR;CONSO;PDL;latitude;longitude;id;score
413050;Enedis;2019;E;773050101;MONTEREAU-FAULT-YONNE;25 AVENUE DE SURVILLE;T;4,754334e+01;1;48.392711;2.95337;77305_1515_00025;0.8765136363636363
413051;Enedis;2019;E;773050101;MONTEREAU-FAULT-YONNE;9 RUE ROBERTE BOUCHER;T;6,300771e+01;1;48.398409;2.947124;77305_0153_00009;0.8675090909090908
413052;Enedis;2019;E;773050102;MONTEREAU-FAULT-YONNE;16 BOULEVARD DIDEROT;R;2,425651e+01;12;48.398221;2.952477;77305_0447_00016;0.8693518181818181
413053;Enedis;2019;E;773050102;MONTEREAU-FAULT-YONNE;8 RUE PAUL LANGEVIN;R;1,859706e+01;10;48.399961;2.954223;77305_1105_00008;0.8680445454545455
413054;Enedis;2019;E;773050102;MONTEREAU-FAULT-YONNE;14 RUE PAUL LANGEVIN;R;1,987742e+01;10;48.399985;2.953484;77305_1105_00014;0.8680445454545455
413055;Enedis;2019;E;773050102;MONTEREAU-FAULT-YONNE;3 RUE LOUIS BRAILLE;R;1,973494e+01;10;48.400142;2.955384;77305_0877_00003;0.8711954545454546
413056;Enedis;2019;E;773050102;MONTEREAU-FAULT-YONNE;18 BOULEVARD DIDEROT;R;2,631942e+01;14;48.398232;2.95227;77305_0447_00018;0.8693518181818181
413057;Enedis;2019;E;773050102;MONTEREAU-FAULT-YONNE;1 RUE LOUIS BRAILLE;R;2,311652e+01;10;48.400142;2.955371;77305_0877_00001;0.8711954545454546
413058;Enedis;2019;E;773050102;MONTEREAU-FAULT-YONNE;5 RUE LOUIS BRAILLE;R;2,255034e+01;10;48.400142;2.955398;77305_0877_00005;0.8711954545454546
413059;Enedis;2019;E;773050102;MONTEREAU-FAULT-YONNE;16 RUE PAUL LANGEVIN;R;1,604886e+01;10;48.399996;2.953165;77305_1105_00016;0.8680445454545455
413060;Enedis;2019;E;773050102;MONTEREAU-FAULT-YONNE;2 RUE PAUL LANGEVIN;R;2,000107e+01;12;48.399923;2.955002;77305_1105_00002;0.8680445454545455
413061;Enedis;2019;E;773050102;MONTEREAU-FAULT-YONNE;4 RUE PAUL LANGEVIN;R;2,040280e+01;12;48.399937;2.954643;77305_1105_00004;0.8680445454545455
413062;Enedis;2019;E;773050102;MONTEREAU-FAULT-YONNE;10 RUE PAUL LANGEVIN;R;1,830577e+01;10;48.399973;2.953896;77305_1105_00010;0.8680445454545455
413063;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;1 AVENUE LAENNEC;R;3,478999e+01;10;48.398015;2.960115;77305_0835_00001;0.8685236363636363
413064;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;50 SQUARE BEAUMARCHAIS;R;3,572932e+01;12;48.399202;2.955484;77305_0105_00050;0.8733627272727271
413065;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;14 RUE RACINE;R;2,631664e+01;10;48.398764;2.957749;77305_1355_00014;0.8716736363636364
413066;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;44 SQUARE BEAUMARCHAIS;R;2,393545e+01;11;48.399265;2.956064;77305_0105_00044;0.8733627272727271
413067;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;2 RUE RACINE;R;3,376193e+01;20;48.397675;2.957072;77305_1355_00002;0.8716736363636364
