;OPERATEUR;ANNEE;FILIERE;CODE_IRIS;NOM_COMMUNE;ADRESSE;CODE_GRAND_SECTEUR;CONSO;PDL
413200;Enedis;2019;E;773050202;MONTEREAU-FAULT-YONNE;8 RUE DU 8 MAI 1945;R;4,278926e+01;12
413201;Enedis;2019;E;773050202;MONTEREAU-FAULT-YONNE;7 PROMENADE DES MESSIEURS;R;8,438132e+01;19
413202;Enedis;2019;E;773050202;MONTEREAU-FAULT-YONNE;5 RUE DES FAUVETTES;R;1,588774e+01;10
413203;Enedis;2019;E;773050202;MONTEREAU-FAULT-YONNE;57 RUE LEO LAGRANGE;R;4,024442e+01;22
413204;Enedis;2019;E;773050202;MONTEREAU-FAULT-YONNE;18 RUE DES ENFANTS;R;1,974099e+01;12
413205;Enedis;2019;E;773050202;MONTEREAU-FAULT-YONNE;6 PROMENADE DES MESSIEURS;R;1,315676e+02;29
413206;Enedis;2019;E;773050202;MONTEREAU-FAULT-YONNE;1 RUE DES ENFANTS;R;1,303044e+01;10
413207;Enedis;2019;E;773050202;MONTEREAU-FAULT-YONNE;4 RUE GUE PUCELLE;R;2,260875e+01;17
413208;Enedis;2019;E;773050202;MONTEREAU-FAULT-YONNE;5 PROMENADE DES MESSIEURS;R;1,712835e+02;32
413209;Enedis;2019;E;773050202;MONTEREAU-FAULT-YONNE;3 PROMENADE DES MESSIEURS;R;1,759559e+02;34
413210;Enedis;2019;E;773050202;MONTEREAU-FAULT-YONNE;8 BOULEVARD DES MESSIEURS;R;5,623242e+01;55
413211;Enedis;2019;E;773050202;MONTEREAU-FAULT-YONNE;10 BOULEVARD DES MESSIEURS;R;4,323278e+01;36
413212;Enedis;2019;E;773050202;MONTEREAU-FAULT-YONNE;3 RUE DES FAUVETTES;R;1,296277e+01;10
413213;Enedis;2019;E;773050202;MONTEREAU-FAULT-YONNE;5 RUE GUE PUCELLE;R;5,929780e+01;12
413214;Enedis;2019;E;773050202;MONTEREAU-FAULT-YONNE;53 RUE LEO LAGRANGE;R;2,647668e+01;14
413215;Enedis;2019;E;773050202;MONTEREAU-FAULT-YONNE;2 RUE DES ENFANTS;R;1,103716e+01;10
413216;Enedis;2019;E;773050202;MONTEREAU-FAULT-YONNE;13 RUE DES ENFANTS;R;1,911291e+01;10
413217;Enedis;2019;E;773050202;MONTEREAU-FAULT-YONNE;10 RUE DU 8 MAI 1945;R;7,900680e+01;15
413218;Enedis;2019;E;773050202;MONTEREAU-FAULT-YONNE;14 RUE DES ENFANTS;R;2,565017e+01;14
413219;Enedis;2019;E;773050202;MONTEREAU-FAULT-YONNE;9 RUE DES ENFANTS;R;1,775057e+01;10
413220;Enedis;2019;E;773050202;MONTEREAU-FAULT-YONNE;39 RUE ETIENNE THIBAULT;R;7,303118e+01;11
413221;Enedis;2019;E;773050202;MONTEREAU-FAULT-YONNE;12 RUE DES ENFANTS;R;2,211104e+01;14
413222;Enedis;2019;E;773050202;MONTEREAU-FAULT-YONNE;4 PROMENADE DES MESSIEURS;R;8,193860e+01;18
