;OPERATEUR;ANNEE;FILIERE;CODE_IRIS;ADRESSE;NOM_COMMUNE;CODE_GRAND_SECTEUR;CONSO;PDL;latitude;longitude;id;score
178407;GRDF;2019;G;773050105;RUE HENRI BARBUSSE;MONTEREAU-FAULT-YONNE;T;4,934268e+02;1;48.400291;2.971351;77305_0779;0.8700527272727272
178408;GRDF;2019;G;773050201;CHEMIN DE HALAGE DE L YONNE;MONTEREAU-FAULT-YONNE;I;2,508561e+03;1;48.385221;2.960954;77305_0777;0.8711954545454546
178409;GRDF;2019;G;773050201;5 RUE DE LA GRANDE HAIE;MONTEREAU-FAULT-YONNE;T;1,083328e+03;1;48.386418;2.967824;77305_0684_00005;0.8726881818181818
178410;GRDF;2019;G;773050201;5 RUE DES CLOMARTS;MONTEREAU-FAULT-YONNE;T;2,792200e-01;1;48.385919;2.966801;77305_0325_00005;0.87066
178411;GRDF;2019;G;773050201;RUE DES CLOMARTS;MONTEREAU-FAULT-YONNE;T;1,632432e+02;1;48.386187;2.967144;77305_0325;0.87066
178412;GRDF;2019;G;773050201;30 RUE DE LA GRANDE HAIE;MONTEREAU-FAULT-YONNE;T;0,000000e+00;1;48.384068;2.978178;77305_0684_00030;0.8726881818181818
178413;GRDF;2019;G;773050201;22 RUE DE LA GRANDE HAIE;MONTEREAU-FAULT-YONNE;T;2,525009e+03;1;48.384512;2.97434;77305_0684_00022;0.8726881818181818
178414;GRT Gaz;2019;G;773050201;36 RUE DE LA GRANDE HAIE;MONTEREAU-FAULT-YONNE;I;2,403520e+05;1;48.385852;2.979376;77305_0684_00036;0.8726881818181818
178415;GRDF;2019;G;773050202;1 RUE DE VARENNES;MONTEREAU-FAULT-YONNE;I;1,103376e+03;1;48.384473;2.950207;77305_1550_00001;0.8766681818181818
178416;GRDF;2019;G;773050202;RUE DES ENFANTS;MONTEREAU-FAULT-YONNE;I;1,675236e+03;1;48.386451;2.946622;77305_0530;0.8700527272727272
178417;GRDF;2019;G;773050202;18 RUE DES ENFANTS;MONTEREAU-FAULT-YONNE;I;9,009920e+02;1;48.386531;2.946003;77305_0530_00018;0.8700527272727272
178418;GRDF;2019;G;773050202;RUE DE VARENNES PROLONGEE;MONTEREAU-FAULT-YONNE;I;6,360455e+02;1;48.38279;2.939318;77305_1552;0.6075336363636363
178419;GRDF;2019;G;773050202;57 RUE LEO LAGRANGE;MONTEREAU-FAULT-YONNE;R;4,761753e+02;1;48.379465;2.946835;77305_0860_00057;0.8776818181818181
178420;GRDF;2019;G;773050202;18 RUE DES ENFANTS;MONTEREAU-FAULT-YONNE;R;2,774480e+00;10;48.386531;2.946003;77305_0530_00018;0.8700527272727272
178421;GRDF;2019;G;773050202;16 RUE DES ENFANTS;MONTEREAU-FAULT-YONNE;R;3,591680e+00;12;48.386538;2.946283;77305_0530_00016;0.8700527272727272
178422;GRDF;2019;G;773050202;39 B RUE GUE PUCELLE;MONTEREAU-FAULT-YONNE;R;2,553335e+02;43;48.388002;2.944814;77305_0760_00039_bis;0.7259496694214876
178423;GRDF;2019;G;773050202;27 RUE ETIENNE THIBAULT;MONTEREAU-FAULT-YONNE;R;2,580741e+02;6;48.382318;2.946635;77305_0560_00027;0.87471
178424;GRDF;2019;G;773050202;8 BOULEVARD DES MESSIEURS;MONTEREAU-FAULT-YONNE;R;1,419030e+00;12;48.385525;2.949429;77305_0950_00008;0.8732036363636363
178425;GRDF;2019;G;773050202;9 RUE DU 8 MAI 1945;MONTEREAU-FAULT-YONNE;R;1,997326e+02;25;48.38024;2.947015;77305_0804_00009;0.8725027272727273
178426;GRDF;2019;G;773050202;10 BOULEVARD DES MESSIEURS;MONTEREAU-FAULT-YONNE;R;3,267550e+00;15;48.385442;2.949863;77305_0950_00010;0.8732036363636363
178427;GRDF;2019;G;773050202;15 RUE DU CHATELET;MONTEREAU-FAULT-YONNE;R;8,469018e+01;13;48.383332;2.943668;77305_0280_00015;0.8728663636363636
178428;GRDF;2019;G;773050202;12 RUE DES ENFANTS;MONTEREAU-FAULT-YONNE;R;5,564860e+00;12;48.386559;2.946799;77305_0530_00012;0.8700527272727272
